Edible,Color,Shape,Surface
P,Red,Convex-Bolete,Smooth-Silky
P,Brown,CupFungi,Hairy
P,White-Orange,Funnelshaped-ToothFungi,Velvety
P,Orange,ToothFungi-Funnelshaped,Velvety
P,Blue,ToothFungi,Velvety
I,Brown,ToothFungi,Velvety
I,Blue,ToothFungi,RaisedScales-Velvety
P,White-Red,ToothFungi,Velvety
I,Red-White,ToothFungi,Velvety
I,Dark-Brown,Funnelshaped-ToothFungi,Velvety
I, ,ToothFungi,Velvety
I,White-Brown,ToothFungi,Velvety
E,Orange,ToothFungi-Depressed,Smooth-Silky
E,Orange-Pale,ToothFungi,Smooth
P,Yellow-Orange,Conical,Smooth
P,Orange,Conical,Smooth
E,Red,Convex,Fibrous
P,Yellow,Convex,Smooth
E,Yellow,Convex-Flat,Smooth
E,Red,Conical-Convex,Smooth
P,Orange,Conical,Smooth
I,Red-Orange,Conical,Silky
E,Yellow,Convex-Flat,Smooth
E,Gray,Conical-Flat,Smooth
P,Red-Orange,Convex-Bellshaped,Smooth
P,Orange,Conical-Flat,Smooth
E,Red,Convex,Smooth-Fibrous
E,Red,Convex-Conical,Smooth
I,Yellow-Orange,Convex-Conical,Smooth
E,Red-Orange,Convex,Smooth
P,Brown,Conical,Smooth-Fibrous
E,Red,Conical-Convex,Smooth
P,Orange,Convex-Depressed,Velvety-Silky
P,Orange-Brown,Convex-Funnelshaped,Smooth
E,Brown-Gray,Convex,Smooth
E,Brown,Convex-Flat,Smooth
E,Brown-Dark,Convex-Depressed,Smooth
E,White-Yellow,Convex-Flat,Smooth
E,White,Convex-Depressed,Smooth-Silky
I,White-Pink,Convex-Flat,Smooth
E,Brown,Convex-Depressed,Smooth
E,Brown-Gray,Convex,Smooth
E,Yellow,Bellshaped-Conical,Smooth
E,Gray-Dark,Convex,Smooth
E,Brown,Convex-Depressed,Smooth
P,Brown-Gray,Convex-Flat,Smooth
E,Brown,Convex-Knobbed,Smooth
E,Brown-Gray,Convex-Conical,Smooth
E,Pale,Convex-Flat,Smooth
E,Pale-Tan,Convex-Bellshaped,Smooth
E,Brown-Gray,Convex-Bellshaped,Smooth
E,Red-Pink,Convex-Depressed,Smooth
P,Brown,Corticioid,Smooth
P,Brown,Corticioid,Velvety
E,Brown,Convex-Flat,Smooth
P,Yellow,CupFungi,Smooth
P, ,Flat-Depressed,Smooth
E,Brown,Convex-Bellshaped,Smooth
P,Yellow,Convex-Flat,Smooth
E,Red-Pink,Convex,Smooth-Fibrous
I,Red,Convex,Smooth
E,Orange,Funnelshaped,Smooth
E,White-Tan,Convex,Smooth-FlatScales
E,White,Convex,Smooth
E,White,Stinkhorns, 
P,White,Stinkhorns, 
E,Brown,Convex-Bolete,Velvety-Silky
I,Red,Convex,Velvety
E,White,Convex-Funnelshaped,Smooth
E,Tan,Funnelshaped,Smooth
P,Orange,Conical-Bellshaped,Smooth
P,White,Conical-Bellshaped,Smooth-Silky
P,Dark-Brown,Convex-Bellshaped,RaisedScales
P,Brown,Convex-Depressed,Hairy-Fibrous
P,Brown,Conical-Flat,Smooth
P,Yellow-Brown,Conical-Knobbed,Fibrous-Silky
E,Brown,Polypore-Shellshaped,Velvety
E,Dark,Polypore, 
P,Brown-Yellow,Polypore-Shellshaped,Velvety
I,White,Corticioid, 
E,Brown,Polypore-Shellshaped,Velvety
E,Brown,Truffles, 
P,Gray,Corticioid,Velvety
E,Yellow,Convex-Flat,Smooth
E,Purple,Convex-Depressed,Silky
E,Brown-Pale,Convex-Depressed,Smooth
P,Red-Brown,Convex-Depressed,Smooth
E,Brown,Convex-Flat,Smooth
E,Orange,Convex-Flat,Smooth
E,Pink-Brown,Convex-Depressed,Smooth
I,Yellow,CupFungi,Hairy
E,Yellow-Brown,Convex-Bellshaped,Hairy-Fibrous
P,Lilac,Convex-Depressed,Smooth
I,Gray,Convex-Depressed,Smooth
E,Brown,Convex-Depressed,Smooth
P,Pale-Pink,Convex-Depressed,Smooth
I,White,Convex-Funnelshaped,Smooth
E,Orange,Convex-Depressed,Smooth
E,Yellow,Convex-Depressed,Smooth
P,Yellow,Convex-Depressed,Smooth
P,Brown,Convex-Flat,Smooth
P,Red-Yellow,Convex-Depressed,Smooth
E,Pink,Convex-Depressed,Smooth
P,Brown,Convex-Depressed,Smooth
E,Blue,Convex-Funnelshaped,Smooth
E,Dark,Convex-Depressed,Velvety-Silky
P,Pale-Yellow,Convex-Depressed,Hairy-Fibrous
P,Gray,Convex-Depressed,Smooth-Fibrous
E,Pale-Tan,Convex-Depressed,Smooth
E,Pale,Convex-Depressed,Smooth
E,White,Convex-Depressed,Smooth
E,Orange,Convex-Depressed,Smooth
P,Orange,Convex-Funnelshaped,Smooth
P,White,Convex-Depressed,Hairy-Fibrous
I,Pale-Gray,Convex-Depressed,Smooth
E,Brown,Convex-Depressed,Smooth
P,Yellow,Convex-Depressed,Hairy-Fibrous
E,Brown,Convex-Funnelshaped,Smooth
E,Brown,Convex-Depressed,Smooth
E,Orange,Convex-Depressed,Smooth
I,Pale,Convex-Depressed,Smooth-Hairy
I,Yellow,Convex-Depressed,Fibrous
E,Orange-Green,Convex-Depressed,Smooth-Patches
I,Brown,Convex-Depressed,Smooth
E,Pink,Convex-Depressed,RaisedScales
E,Brown,Convex-Depressed,Smooth
